Substance,Weight (g/cm³),Specific Gravity,Strength,Flammability
Gunpowder,Various,Various,Various,0.980
Hydrogen Peroxide,1.45,1.45,Very low,0.980
Sodium,0.97,0.97,Weak,0.970
Acetylene,0.0011,0.0011,Very weak,0.950
Fossil Fuels,Various,Various,Various,0.950
Asphalt,Various,Various,Various,0.950
Natural Gas,0.656,0.656,Weak,0.950
Petroleum Products,Various,Various,Various,0.920
Ammonium Nitrate,Various,Various,Various,0.920
Carbon Disulfide,Various,Various,Various,0.920
Chloroform,1.483,1.483,Low,0.920
Uranium,19.05,19.05,Very high,0.920
Gasoline,Various,Various,Various,0.910
Alkyl Benzene,Various,Various,Various,0.900
Mineral Oil,Various,Various,Various,0.900
Phosphates,Various,Various,Various,0.900
Chemical Waste,Various,Various,Various,0.900
Arsenic Compounds,Various,Various,Various,0.900
Diesel Fuel,Various,Various,Various,0.900
Ammonia,0.771,0.77,Very weak,0.880
Acetic Acid,Various,Various,Various,0.880
Copper Sulfate,Various,Various,Various,0.880
Alcohol,0.789,0.79,Very weak,0.850
Isopropyl Alcohol,Various,Various,Various,0.850
Nitrates,Various,Various,Various,0.850
Sulfuric Acid,Various,Various,Various,0.850
Sunflower Oil,0.92,0.92,Weak,0.850
Natural Leather,Various,Various,Various,0.820
Wood,Various,Various,Various,0.800
Propane,1.88,1.88,Very low,0.780
Sulfuric Acid,Various,Various,Various,0.780
Paper,Various,Various,Various,0.750
Methane,0.656,0.656,Weak,0.730
